species	n_ir	genome_size_bp	total_ir_span_bp	mean_arm_len_bp	median_arm_len_bp	max_arm_len_bp	mean_span_bp	median_span_bp	max_span_bp	median_spacer_bp	mean_spacer_bp	median_tir_ident	mean_tir_ident	median_score	ir_density_per_mb	n_immediate	prop_immediate	n_spaced	prop_spaced	n_wide	prop_wide	n_overlap	prop_overlap
Acleris_hyemana	4804	578117876	311005274	3440.3915	452.5	110641	64738.8164	46845.0	247618	33129.5	54576.3316	0.951	0.8715	324.0	8.3097	719	0.1497	3067	0.6384	988	0.2057	30	0.0062
Acleris_laterana	4981	567337576	239786946	3957.9968	431.0	118664	48140.3224	25508.0	244762	14803.0	36922.5541	0.968	0.8947	323.0	8.7796	1196	0.2401	3186	0.6396	594	0.1193	5	0.001
Acleris_literana	5540	674813187	365541189	3632.7596	471.0	117635	65982.1641	47062.0	248207	34798.0	55840.894	0.947	0.8782	324.0	8.2097	821	0.1482	3518	0.635	1191	0.215	10	0.0018
Acleris_logiana	4210	529557611	238624402	2469.6	477.0	110437	56680.3805	31066.0	246405	22255.5	49972.7933	0.942	0.8916	323.0	7.95	840	0.1995	2512	0.5967	855	0.2031	3	0.0007
Acleris_lorquiniana	3450	478787410	228557740	3362.7403	352.0	123174	66248.6203	46951.5	249736	31458.0	55278.4632	0.949	0.8478	323.0	7.2057	644	0.1867	1990	0.5768	781	0.2264	35	0.0101
Acleris_sparsana	4890	589482501	307910607	3266.4188	422.0	117404	62967.4043	43965.0	249911	30537.5	52982.6703	0.958	0.8912	323.0	8.2954	828	0.1693	3022	0.618	1006	0.2057	34	0.007
Acleris_umbrana	5026	584416689	310544450	3517.084	419.0	120072	61787.5945	41365.5	246454	29811.5	52235.3227	0.944	0.8747	324.0	8.6	743	0.1478	3244	0.6454	1028	0.2045	11	0.0022
Acrobasis_consociella	5677	597883097	329617774	5023.0775	533.0	121200	58061.9648	38415.0	244690	18958.0	42343.9072	0.945	0.8593	328.0	9.4952	1375	0.2422	3388	0.5968	852	0.1501	62	0.0109
Acrobasis_repandana	5264	619534863	386355363	5295.6495	450.0	121107	73395.7756	59765.0	245303	37899.5	56279.196	0.949	0.8481	326.0	8.4967	668	0.1269	3341	0.6347	1105	0.2099	150	0.0285
Acrobasis_suavella	5329	647252360	371466287	4198.7437	478.0	117318	69706.5654	53791.0	248401	36156.0	55850.8334	0.936	0.8526	327.0	8.2333	676	0.1269	3312	0.6215	1142	0.2143	199	0.0373
Acrocera_orbiculus	945	215948175	47305087	1692.7302	451.0	114418	50058.2931	17437.0	239860	10715.0	44985.0794	0.948	0.8936	356.0	4.376	238	0.2519	528	0.5587	176	0.1862	3	0.0032
Acrocnida_brachiata	16130	1644411232	647233423	2253.1784	565.0	110207	40126.0647	18592.0	249247	11932.5	34221.9398	0.935	0.8881	322.0	9.809	3105	0.1925	11119	0.6893	1857	0.1151	49	0.003
Acronicta_aceris	3417	466369003	270989682	6513.0641	374.0	111655	79306.3161	67562.0	249622	43011.0	60968.6637	0.939	0.8295	325.0	7.3268	369	0.108	2207	0.6459	816	0.2388	25	0.0073
Acronicta_alni	3376	469885286	259533282	6121.8584	272.5	121004	76875.9722	63389.0	244688	39977.0	58471.9194	0.9535	0.8339	325.0	7.1847	475	0.1407	2114	0.6262	776	0.2299	11	0.0033
Acronicta_leporina	3606	465501737	290657159	10886.9365	635.0	118564	80603.7601	68580.5	247613	34364.5	52744.8278	0.93	0.777	326.0	7.7465	610	0.1692	2302	0.6384	687	0.1905	7	0.0019
Acronicta_megacephala	3778	428493806	242952023	5621.4442	359.0	118027	64307.0469	45756.0	248697	18222.0	44217.1368	0.967	0.8584	326.0	8.8169	974	0.2578	2155	0.5704	629	0.1665	20	0.0053
Acronicta_psi	3034	404684940	201355657	4383.3906	316.0	110635	66366.3998	48660.0	244439	29022.5	52423.0626	0.945	0.8471	325.0	7.4972	674	0.2221	1744	0.5748	611	0.2014	5	0.0016
Acronicta_rumicis	5058	582279866	337037360	7043.7165	609.5	120368	66634.5117	48128.5	246194	21631.0	45397.4905	0.951	0.8429	326.0	8.6865	1210	0.2392	3009	0.5949	836	0.1653	3	0.0006
Actenicerus_siaelandicus	8119	849853364	381702217	3547.1346	872.0	123541	47013.452	20158.0	248524	10790.0	37007.3917	0.935	0.8862	337.0	9.5534	2306	0.284	4700	0.5789	1073	0.1322	40	0.0049
Acupalpus_dubius	6051	642190680	325928756	4714.9208	679.0	116115	53863.6186	31018.0	248619	18642.0	41894.3239	0.945	0.8775	351.0	9.4224	1181	0.1952	3957	0.6539	894	0.1477	19	0.0031
Acupalpus_parvulus	5584	577378840	259473590	3543.9538	674.5	119043	46467.3335	20835.5	249089	10432.5	35440.0783	0.955	0.8939	353.0	9.6713	1337	0.2394	3452	0.6182	681	0.122	114	0.0204
Adaina_microdactyla	1409	275392572	101221976	3792.7566	392.0	109111	71839.5855	53824.0	245021	35845.0	60456.726	0.934	0.8575	334.0	5.1163	222	0.1576	810	0.5749	360	0.2555	17	0.0121
Adalia_bipunctata	4731	474430117	241182425	5335.7299	1057.0	119710	50979.164	26817.0	245024	12534.0	37262.8013	0.954	0.9022	333.0	9.972	1455	0.3075	2653	0.5608	610	0.1289	13	0.0027
Adalia_decempunctata	5067	488377102	235667686	4379.9704	1135.0	116242	46510.2992	20309.0	243889	7670.0	33877.4733	0.958	0.9029	333.0	10.3752	1859	0.3669	2598	0.5127	594	0.1172	16	0.0032
Adicella_reducta	2628	414472062	170219499	2677.2595	484.0	111129	64771.4989	43264.5	247780	32839.5	56827.4665	0.964	0.9172	331.0	6.3406	481	0.183	1539	0.5856	607	0.231	1	0.0004
Adscita_geryon	6698	762527038	388431376	2327.136	639.5	114393	57992.1433	36425.5	246344	26847.5	50784.9948	0.96	0.8903	331.0	8.784	1039	0.1551	4243	0.6335	1285	0.1918	131	0.0196
Aegialia_arenaria	1573	420275369	114732123	4738.5232	887.0	120952	72938.4126	55052.0	241971	40112.0	60536.1297	0.897	0.8368	330.0	3.7428	152	0.0966	1022	0.6497	393	0.2498	6	0.0038
Aegithalos_caudatus	5825	1085248650	487954690	1912.8247	44.0	109417	83769.0455	71130.0	249046	65139.0	79167.8582	0.894	0.8425	314.0	5.3674	91	0.0156	3779	0.6488	1952	0.3351	3	0.0005
Aelia_acuminata	12200	1169402079	688817172	3380.5864	382.0	123888	56460.4239	36365.0	247006	21742.5	43342.6783	0.882	0.7994	343.0	10.4327	2720	0.223	7420	0.6082	1823	0.1494	237	0.0194
Aesculus_hippocastanum	3002	503595101	195599326	3338.5996	1081.0	112643	65156.3378	44930.5	243797	35012.0	57158.0996	0.9	0.85	327.0	5.9611	379	0.1262	1927	0.6419	677	0.2255	19	0.0063
Aeshna_juncea	14613	1701629986	923363588	6928.9992	651.0	120587	63187.8182	42940.0	249535	9025.0	35116.2642	0.949	0.8419	342.0	8.5876	4582	0.3136	8204	0.5614	1804	0.1235	23	0.0016
Aethes_cnicana	3697	400002841	164310804	3531.9754	550.0	104214	44444.3614	24898.0	249138	17365.0	34581.9981	0.946	0.8756	317.0	9.2424	458	0.1239	2905	0.7858	331	0.0895	3	0.0008
Aethes_rubigana	4281	463840814	264783879	5169.9523	713.0	111928	61850.9411	42176.0	243628	22298.0	44661.3221	0.957	0.8783	322.0	9.2295	892	0.2084	2708	0.6326	663	0.1549	18	0.0042
Aethes_rutilana	3393	416356557	218842779	4170.7707	599.0	115253	64498.3139	47358.0	246939	34833.0	52536.6888	0.931	0.8471	320.0	8.1493	259	0.0763	2494	0.735	624	0.1839	16	0.0047
Aethes_smeathmanniana	3958	425588726	248091502	6181.2812	602.0	114163	62681.0263	44692.5	249006	23332.0	44361.028	0.943	0.8432	321.0	9.3001	876	0.2213	2463	0.6223	614	0.1551	5	0.0013
Aethes_tesserana	4237	485435245	292416753	6239.0484	628.0	120095	69015.0467	52315.0	248966	29217.0	49418.1142	0.94	0.8326	321.0	8.7282	651	0.1536	2841	0.6705	725	0.1711	20	0.0047
Agapeta_hamana	6368	665730476	375157038	5466.8866	674.0	122022	58912.8514	38284.5	245730	20514.0	42861.8785	0.941	0.8555	322.0	9.5654	1368	0.2148	4063	0.638	930	0.146	7	0.0011
Agapeta_zoegana	5253	576264416	304461883	3910.5496	726.0	120322	57959.6198	37000.0	243429	22333.0	45980.0147	0.946	0.8697	322.0	9.1156	1049	0.1997	3320	0.632	880	0.1675	4	0.0008
Agapetus_fuscipes	4751	616296540	393697305	10273.8775	638.0	120777	82866.1976	70691.0	249697	36020.0	53336.4713	0.951	0.7936	328.0	7.709	573	0.1206	3300	0.6946	869	0.1829	9	0.0019
Agaricus_bisporus	170	30454534	4608037	2081.2471	1347.5	13657	27106.1	17046.0	235102	12405.0	22530.1059	0.9185	0.9058	301.5	5.5821	22	0.1294	143	0.8412	5	0.0294	0	0.0
Agelastica_alni	14	1479088	785327	1149.4286	816.0	2444	56094.7857	47585.0	213193	45175.5	51953.2143	0.9795	0.9521	326.0	9.4653	0	0.0	13	0.9286	1	0.0714	0	0.0
Agnoea_josephinae	9719	1010419275	571420799	2881.0084	344.0	115171	58794.1968	40496.0	244741	26326.0	48168.9571	0.923	0.8475	325.0	9.6188	1749	0.18	5887	0.6057	1728	0.1778	355	0.0365
Agnoea_subochreella	4701	544439971	252641964	3690.247	554.0	108400	53742.1749	36020.0	245165	26539.0	43486.1942	0.981	0.9012	322.0	8.6346	401	0.0853	3655	0.7775	611	0.13	34	0.0072
Agonopterix_alstromeriana	4279	516462772	331347796	12274.58	588.0	120165	77435.8018	65378.0	248305	18918.0	42121.8296	0.931	0.7643	328.0	8.2852	921	0.2152	2714	0.6343	630	0.1472	14	0.0033
Agonopterix_arenella	4302	545789248	348885223	12634.1432	553.0	120803	81098.3782	67433.5	248458	28097.0	47124.2064	0.9	0.7434	327.0	7.8822	805	0.1871	2757	0.6409	700	0.1627	40	0.0093
Agonopterix_heracliana	5811	538812816	338309158	6378.1955	532.0	116605	58218.7503	38996.0	249504	5379.0	29972.6338	0.958	0.8482	328.0	10.7848	2169	0.3733	3082	0.5304	556	0.0957	4	0.0007
Agonopterix_kaekeritziana	6238	599338532	349462584	5989.7063	537.0	118946	56021.5749	35097.5	248502	5164.5	31070.045	0.957	0.8523	327.0	10.4081	2097	0.3362	3471	0.5564	645	0.1034	25	0.004
Agonopterix_nervosa	5794	594802386	376551261	7043.1303	534.0	119481	64989.8621	48259.5	247497	10148.0	35967.8719	0.963	0.8471	327.0	9.7411	1629	0.2812	3422	0.5906	719	0.1241	24	0.0041
Agonopterix_propinquella	5471	567697856	328985955	5665.9916	661.0	118396	60132.6915	39998.0	247425	11534.0	37540.4378	0.969	0.8662	328.0	9.6372	1686	0.3082	3064	0.56	693	0.1267	28	0.0051
Agonopterix_subpropinquella	7320	667805830	381355908	6626.9693	694.0	122910	52097.8016	27586.5	246965	3606.0	26223.3839	0.944	0.8388	333.0	10.9613	2766	0.3779	3920	0.5355	619	0.0846	15	0.002
Agonum_fuliginosum	7125	690974135	306534168	3142.7221	650.0	118444	43022.3394	19289.0	248909	8646.0	32916.5227	0.943	0.8666	350.0	10.3115	2174	0.3051	4051	0.5686	764	0.1072	136	0.0191
Agonum_gracile	5961	580896944	285570537	3777.2283	602.0	118118	47906.4816	23457.0	244538	11192.0	36006.564	0.94	0.8623	350.0	10.2617	1758	0.2949	3429	0.5752	710	0.1191	64	0.0107
Agonum_viduum	5341	552249757	260079961	4031.3908	574.0	117977	48694.9936	23718.0	246109	12651.0	37273.7939	0.932	0.8413	347.0	9.6713	1236	0.2314	3415	0.6394	678	0.1269	12	0.0022
Agrilus_ater	6	1493303	472773	1360.3333	1055.0	2211	78795.5	60501.0	195177	58694.0	75961.6667	0.9855	0.9612	330.5	4.0179	0	0.0	4	0.6667	2	0.3333	0	0.0
Agrilus_biguttatus	2644	367534430	154757442	6022.8003	593.5	121541	58531.559	37379.0	240688	13492.0	41119.0102	0.907	0.8278	344.0	7.1939	732	0.2769	1489	0.5632	402	0.152	21	0.0079
Agrilus_cyanescens	1976	292338215	86613730	2819.1817	656.5	121894	43832.8593	16526.0	245576	10548.5	37008.8446	0.958	0.9209	340.0	6.7593	553	0.2799	1150	0.582	271	0.1371	2	0.001
Agriopis_leucophaearia	4112	491067556	295214539	5083.4064	542.0	117099	71793.419	55269.5	245888	36344.0	56443.6279	0.965	0.8773	323.0	8.3736	595	0.1447	2641	0.6423	869	0.2113	7	0.0017
Agriopis_marginaria	3712	500852740	313556759	10663.4938	407.0	118528	84471.1096	74028.5	248983	37464.0	56064.3583	0.947	0.7786	323.0	7.4114	433	0.1166	2506	0.6751	751	0.2023	22	0.0059
Agriotes_lineatus	22403	2541723702	838146127	2933.9164	641.0	119923	37412.2272	10580.0	246743	4826.0	29359.2375	0.948	0.9089	332.0	8.8141	7405	0.3305	12652	0.5647	2330	0.104	16	0.0007
Agriphila_geniculea	8462	781104587	374937543	3609.9533	686.0	121148	44308.3837	18019.5	243306	7826.0	32299.234	0.946	0.8825	331.0	10.8334	2594	0.3065	4914	0.5807	922	0.109	32	0.0038
Agriphila_inquinatella	5	1267716	377241	1073.4	854.0	2612	75448.2	68259.0	188969	63014.0	73180.4	0.999	0.977	331.0	3.9441	1	0.2	3	0.6	1	0.2	0	0.0
Agriphila_straminella	5387	510320041	258874338	3075.9057	575.0	115679	48055.3811	23756.0	246186	12257.0	38203.3978	0.963	0.9019	331.0	10.5561	1440	0.2673	3239	0.6013	706	0.1311	2	0.0004
Agriphila_tristella	9	1312870	359204	989.5556	1068.0	1519	39911.5556	23807.0	123920	21697.0	37831.6667	1.0	0.9959	329.0	6.8552	0	0.0	8	0.8889	1	0.1111	0	0.0
Agrochola_litura	6973	771466030	428142354	4194.7899	637.0	121517	61400.0221	43182.0	247676	27830.0	49254.5986	0.947	0.8804	324.0	9.0386	1238	0.1775	4487	0.6435	1240	0.1778	8	0.0011
Agrochola_lota	5283	636558611	335393539	2771.7782	508.0	108781	63485.4323	44277.0	249456	33836.0	55126.6493	0.948	0.893	322.0	8.2993	679	0.1285	3499	0.6623	1101	0.2084	4	0.0008
Agrochola_lychnidis	7613	798844618	458174320	5457.0457	560.0	119337	60183.1499	40887.0	245322	21393.0	43976.7009	0.95	0.864	326.0	9.53	1845	0.2423	4572	0.6006	1191	0.1564	5	0.0007
Agrochola_macilenta	5885	683094442	364998097	3584.158	528.0	113011	62021.7667	42640.0	246819	30334.0	52096.6782	0.95	0.8915	323.0	8.6152	829	0.1409	3899	0.6625	1152	0.1958	5	0.0008
Agrocybe_praecox	383	53529029	12730148	1571.9869	882.0	57931	33237.9843	14807.0	247886	12463.0	29841.6188	0.937	0.9162	303.0	7.155	34	0.0888	319	0.8329	30	0.0783	0	0.0
Agrostemma_githago	13908	1720230188	927944011	4123.1422	1426.5	119453	66720.1618	49092.5	248421	35968.0	55967.4977	0.861	0.7982	324.0	8.085	1122	0.0807	9559	0.6873	2936	0.2111	291	0.0209
Agrothereutes_abbreviatus	1534	260783536	83431285	5098.3044	785.5	110337	54388.0606	29343.0	241429	16028.5	40304.1167	0.925	0.8319	334.0	5.8823	325	0.2119	1008	0.6571	197	0.1284	4	0.0026
Agrotis_clavis	7716	749836765	372232778	3183.9351	704.0	117612	48241.6768	24454.0	247749	11681.5	37516.2527	0.962	0.9128	325.0	10.2902	2398	0.3108	4276	0.5542	1032	0.1337	10	0.0013
Agrotis_exclamationis	12	1499236	790090	762.4167	885.0	1085	65840.8333	27926.0	231503	26791.0	64262.25	0.9995	0.9943	328.0	8.0041	0	0.0	9	0.75	3	0.25	0	0.0
Agrotis_puta	7	1262745	407865	882.8571	843.0	2468	58266.4286	37617.0	188213	35690.0	56420.1429	0.999	0.9814	331.0	5.5435	1	0.1429	5	0.7143	1	0.1429	0	0.0
Agrotis_ripae	8815	949389475	527562978	3988.5348	855.0	123747	59848.3242	41206.0	248884	27063.0	47768.6884	0.957	0.8897	324.0	9.2849	1803	0.2045	5501	0.624	1499	0.1701	12	0.0014
Agrypnus_murinus	18290	1576526899	547385202	1954.09	811.0	122814	29928.1138	10361.5	249850	3852.0	24523.9575	0.964	0.9236	342.0	11.6015	6626	0.3623	10051	0.5495	1516	0.0829	97	0.0053
Ailanthus_altissima	5701	939129483	446958745	2641.9065	1661.0	113913	78400.0605	62622.0	247734	55163.0	72499.9833	0.893	0.8809	345.0	6.0705	486	0.0852	3479	0.6102	1734	0.3042	2	0.0004
Ajuga_chamaepitys	5468	888349137	399873699	2887.1138	406.0	120026	73129.7913	56307.5	249534	48597.0	66509.2462	0.877	0.805	332.0	6.1552	432	0.079	3512	0.6423	1496	0.2736	28	0.0051
Ajuga_reptans	7127	955445730	482623359	4804.432	1666.0	120796	67717.6033	49231.0	248338	35698.0	56532.2874	0.906	0.8485	332.0	7.4593	877	0.1231	4605	0.6461	1582	0.222	63	0.0088
Alcis_repandata	8	1294175	502336	831.875	854.0	1153	62792.0	22231.0	233257	20332.0	60991.25	1.0	0.9946	321.0	6.1815	0	0.0	6	0.75	2	0.25	0	0.0
Aleimma_loeflingiana	3656	460874507	249350230	3776.8356	400.0	117231	68203.017	49972.0	246643	37536.5	57594.2681	0.934	0.8582	322.0	7.9327	498	0.1362	2289	0.6261	823	0.2251	46	0.0126
Aleiodes_alternator	7	1229206	924957	47001.5714	38386.0	104861	132136.7143	161280.0	218150	27004.0	37995.7143	0.472	0.5409	385.0	5.6947	0	0.0	7	1.0	0	0.0	0	0.0
Aleiodes_circumscriptus	2725	264017841	130476681	5182.0327	919.0	115659	47881.3508	24270.0	249174	10381.0	32895.0473	0.946	0.8465	350.0	10.3213	736	0.2701	1636	0.6004	268	0.0983	85	0.0312
Aleiodes_leptofemur	9	1350575	786473	15371.4444	1866.0	64082	87385.8889	60725.0	176696	50085.0	56607.1111	0.998	0.818	330.0	6.6638	0	0.0	8	0.8889	1	0.1111	0	0.0
Aleiodes_similis	2847	280648448	115999836	3652.0116	691.0	113792	40744.5859	17534.0	247621	9474.0	30277.2448	0.949	0.8765	349.0	10.1444	733	0.2575	1821	0.6396	257	0.0903	36	0.0126
Aleiodes_testaceus	450	110705161	29236333	8007.9711	628.5	108012	64969.6289	47234.5	241408	16786.5	38431.7289	0.9	0.7991	331.0	4.0649	76	0.1689	320	0.7111	53	0.1178	1	0.0022
Alentia_gelatinosa	8359	1230148939	586181412	2701.2974	192.0	116467	70125.782	52651.0	247842	42378.0	62166.5675	0.882	0.8086	311.0	6.7951	548	0.0656	5495	0.6574	2081	0.249	235	0.0281
Alitta_virens	3938	671008194	240274697	3082.9012	373.0	121684	61014.3974	37452.5	244039	27482.5	52451.2346	0.874	0.7978	321.0	5.8688	362	0.0919	2717	0.6899	777	0.1973	82	0.0208
Allacma_fusca	2123	389532873	114970332	1677.3721	450.0	116577	54154.6547	27746.0	243314	24202.0	50564.8172	0.927	0.8704	318.0	5.4501	157	0.074	1555	0.7325	407	0.1917	4	0.0019
Allantus_rufocinctus	2376	271434597	87366833	2609.399	719.0	98520	36770.5526	14073.5	244670	8243.5	30435.705	0.972	0.925	324.0	8.7535	810	0.3409	1329	0.5593	237	0.0997	0	0.0
