species	n_ir	genome_size_bp	total_ir_span_bp	mean_arm_len_bp	median_arm_len_bp	max_arm_len_bp	mean_span_bp	median_span_bp	max_span_bp	median_spacer_bp	mean_spacer_bp	median_tir_ident	mean_tir_ident	median_score	ir_density_per_mb	n_immediate	prop_immediate	n_spaced	prop_spaced	n_wide	prop_wide	n_overlap	prop_overlap
Ctenicera_cuprea	5369	637017080	272398862	1959.0687	598.0	116644	50735.493	25583.0	248091	17527.0	44790.6757	0.941	0.9089	337.0	8.4283	1341	0.2498	3109	0.5791	915	0.1704	4	0.0007
Culiseta_annulata	18612	1794285319	798878633	3477.3068	656.0	121263	42922.772	17906.5	247879	7218.0	33004.8722	0.944	0.8761	339.0	10.3729	5942	0.3193	10446	0.5613	2078	0.1116	146	0.0078
Cupido_minimus	4545	474370063	258629856	3583.901	1001.0	112643	56904.2587	37958.0	247051	22671.0	44166.1107	0.97	0.8979	330.0	9.5811	1158	0.2548	2631	0.5789	705	0.1551	51	0.0112
Curculio_glandium	13297	1119085662	460113359	2858.6953	723.0	120393	34602.7945	8542.0	249280	3302.0	25733.9726	0.951	0.9031	341.0	11.882	5102	0.3837	7022	0.5281	1108	0.0833	65	0.0049
Cuscuta_epithymum	4098	511434564	254390040	2470.9954	402.0	114470	62076.6325	42898.5	243979	34836.0	55561.6803	0.8905	0.819	328.0	8.0128	515	0.1257	2634	0.6428	881	0.215	68	0.0166
Cyaniris_semiargus	4192	441467852	275699699	5488.9287	459.0	120315	65768.058	48157.5	247416	25590.5	46720.1582	0.923	0.8227	329.0	9.4956	645	0.1539	2594	0.6188	703	0.1677	250	0.0596
Cyanistes_caeruleus	2862	1201836126	242015535	5617.1055	448.5	115935	84561.6824	70418.5	249322	53286.5	71219.479	0.93	0.842	313.0	2.3814	186	0.065	1816	0.6345	857	0.2994	3	0.001
Cybosia_mesomella	7926	946804097	602370728	7718.487	734.0	117491	75999.3348	62755.5	246622	32610.0	51765.921	0.956	0.8333	323.0	8.3713	1238	0.1562	4991	0.6297	1486	0.1875	211	0.0266
Cyclophora_albipunctata	2939	319330719	199502336	7309.9867	570.0	121355	67881.0262	49942.0	246478	18679.0	41157.6475	0.952	0.8352	328.0	9.2036	885	0.3011	1621	0.5515	432	0.147	1	0.0003
Cyclophora_linearia	2383	280307863	149797768	4879.9165	375.0	121462	62861.0021	47117.0	244019	18736.0	42152.6853	0.961	0.8335	328.0	8.5014	742	0.3114	1266	0.5313	373	0.1565	2	0.0008
Cyclophora_punctaria	9	1679297	927162	1759.0	488.0	11344	103018.0	110311.0	177795	109240.0	99467.1111	1.0	0.9472	334.0	5.3594	0	0.0	4	0.4444	5	0.5556	0	0.0
Cyclophora_puppillaria	2453	294979101	167105705	6410.17	459.0	115385	68122.9943	51454.0	243516	24267.0	46769.5883	0.949	0.826	327.0	8.3158	610	0.2487	1421	0.5793	416	0.1696	6	0.0024
Cyclopterus_lumpus	4186	584357689	278349367	4416.1897	58.0	112674	66495.3098	51065.5	249164	40697.0	58923.6882	0.789	0.6967	311.0	7.1634	182	0.0435	3014	0.72	933	0.2229	57	0.0136
Cydalima_perspectalis	3760	480907708	301055207	8323.2976	393.0	121543	80067.8742	69014.5	246098	36451.0	55652.9394	0.939	0.8128	327.0	7.8185	423	0.1125	2441	0.6492	796	0.2117	100	0.0266
Cydia_amplana	10	1264178	863784	1513.9	899.5	7518	86378.4	50152.0	228541	44338.5	83270.2	0.9705	0.9093	331.0	7.9103	1	0.1	6	0.6	3	0.3	0	0.0
Cydia_fagiglandana	5674	554861692	266220546	3838.7975	700.0	123828	46919.3772	21527.5	248615	9836.0	35186.6983	0.955	0.8934	326.0	10.226	1742	0.307	3220	0.5675	677	0.1193	35	0.0062
Cydia_splendana	11	1446399	700988	4856.2727	1429.0	39539	63726.1818	65516.0	197442	17590.0	50959.0	1.0	0.9452	328.0	7.6051	2	0.1818	7	0.6364	2	0.1818	0	0.0
Cydia_strobilella	9	1244533	687651	855.6667	913.0	1132	76405.6667	88510.0	183077	86679.0	74636.1111	0.999	0.9823	322.0	7.2316	0	0.0	6	0.6667	3	0.3333	0	0.0
Cygnus_columbianus	3483	1206043210	283248803	2770.1263	443.0	103198	81323.228	66237.0	248707	57455.0	74861.3339	0.941	0.8687	315.0	2.888	80	0.023	2307	0.6624	1096	0.3147	0	0.0
Cygnus_cygnus	2686	1040897236	224886772	1878.6783	397.0	107606	83725.5294	71313.5	247693	65046.5	79562.1191	0.938	0.8659	315.0	2.5805	60	0.0223	1689	0.6288	936	0.3485	1	0.0004
Cygnus_olor	3291	1131474950	269565444	1708.8292	422.0	89929	81909.8888	66602.0	248177	61438.0	77861.3953	0.941	0.8702	316.0	2.9086	67	0.0204	2145	0.6518	1077	0.3273	2	0.0006
Cylindroiulus_punctatus	1790	345851985	114761553	4246.5441	682.0	111735	64112.5994	41668.0	246767	31544.5	53937.9061	0.92	0.8645	319.0	5.1756	225	0.1257	1197	0.6687	364	0.2034	4	0.0022
Cylloceria_caligata	4404	584488160	254221054	2117.4287	920.0	119262	57725.035	37756.0	244684	33142.5	52975.3926	0.956	0.8392	315.0	7.5348	443	0.1006	3097	0.7032	856	0.1944	8	0.0018
Cymbalaria_muralis	2512	372639664	177009760	3950.2122	679.0	120928	70465.6688	52377.5	247835	41282.5	60943.5338	0.883	0.8346	333.0	6.7411	180	0.0717	1691	0.6732	607	0.2416	34	0.0135
Cynodontium_bruntonii	1951	261910959	108187512	2439.1384	1217.0	81469	55452.3383	32363.0	243017	24234.0	49674.5587	0.954	0.9303	318.0	7.4491	109	0.0559	1482	0.7596	357	0.183	3	0.0015
Cyperus_fuscus	1276	223101950	94672940	1745.9459	60.0	108817	74195.094	55297.0	245601	50123.0	69213.6583	0.8405	0.7747	333.0	5.7194	83	0.065	788	0.6176	378	0.2962	27	0.0212
Cyphostethus_tristriatus	3657	579198696	276804443	1911.6432	55.0	118727	75691.6716	58573.0	247437	52734.0	70835.0692	0.852	0.789	333.0	6.3139	231	0.0632	2298	0.6284	1100	0.3008	28	0.0077
Cyrtopogon_pulchripes	12993	1341113121	521475534	2490.7548	612.0	118975	40135.1138	14013.0	249539	6867.0	33129.9894	0.937	0.8891	328.0	9.6882	4175	0.3213	7224	0.556	1510	0.1162	84	0.0065
Dalopius_marginatus	5529	684892882	257900924	2121.5703	537.0	99880	46645.13	19730.0	249460	14775.0	42071.4185	0.959	0.9207	332.0	8.0728	1369	0.2476	3268	0.5911	889	0.1608	3	0.0005
Danio_rerio	11182	1411811968	799057460	5112.0145	80.0	118510	71459.2613	56955.5	248742	43048.5	60098.5172	0.755	0.692	330.0	7.9203	904	0.0808	7675	0.6864	2551	0.2281	52	0.0047
Dascillus_cervinus	9	1495290	666449	12442.1111	1110.0	81798	74049.8889	65501.0	213697	26679.0	48963.2222	1.0	0.8298	343.0	6.0189	1	0.1111	5	0.5556	3	0.3333	0	0.0
Dasypolia_templi	7168	854057991	453154395	2256.4438	711.0	116453	63219.0841	43629.0	249388	37039.5	57110.0458	0.944	0.911	320.0	8.3929	831	0.1159	4742	0.6616	1592	0.2221	3	0.0004
Dasysyrphus_albostriatus	12	1764474	1017039	9911.5833	1341.0	94728	84753.25	66497.5	219116	44314.0	47786.1667	0.999	0.9198	379.0	6.8009	1	0.0833	10	0.8333	1	0.0833	0	0.0
Dasysyrphus_tricinctus	11730	1049518808	384788689	2241.0897	869.0	120091	32803.8098	7767.0	247353	2877.0	25691.6063	0.96	0.9207	348.0	11.1766	4979	0.4245	5762	0.4912	978	0.0834	11	0.0009
Daudebardia_rufa	18628	2050907427	1199897632	3787.7652	316.0	121763	64413.6586	46016.5	248950	34132.5	53439.2805	0.896	0.7899	318.0	9.0828	1906	0.1023	12847	0.6897	3593	0.1929	282	0.0151
Deilephila_elpenor	3232	414004910	231064294	4662.035	318.0	117897	71492.6652	55402.0	243841	35755.5	56701.0514	0.971	0.8814	326.0	7.8067	448	0.1386	2062	0.638	714	0.2209	8	0.0025
Deilephila_porcellus	3219	402017726	221947936	5476.8882	333.0	111507	68949.3433	51938.0	246478	25263.0	49467.9497	0.967	0.8654	327.0	8.0071	677	0.2103	1915	0.5949	608	0.1889	19	0.0059
Delia_radicum	11893	1243916981	651125537	3627.4468	613.0	122741	54748.6368	32240.0	249875	17731.0	43374.6175	0.948	0.8938	357.0	9.5609	2816	0.2368	7117	0.5984	1890	0.1589	70	0.0059
Delphinus_delphis	14380	2526359760	1315788579	7623.6168	1274.0	118949	91501.292	82164.0	249411	59031.5	72828.9415	0.871	0.7546	315.0	5.692	440	0.0306	9440	0.6565	4284	0.2979	216	0.015
Delplanqueia_inscriptella	6818	691057985	407200943	4078.2483	405.0	118551	59724.3976	42183.5	247234	20662.5	43614.1377	0.971	0.8709	326.0	9.866	1469	0.2155	4010	0.5881	1041	0.1527	298	0.0437
Demoticus_plebejus	6426	761203766	357414661	4102.2708	637.0	121366	55620.0842	31782.5	246903	18507.5	44258.9374	0.948	0.8716	350.0	8.4419	1502	0.2337	3797	0.5909	1039	0.1617	88	0.0137
Dendrocopos_major	8867	1339244002	706119642	5842.1723	365.0	114427	79634.5598	64738.0	247887	43911.0	62495.1389	0.882	0.7879	312.0	6.6209	401	0.0452	6322	0.713	2120	0.2391	24	0.0027
Dendrolimus_pini	10	1391420	605600	1255.2	1129.0	3159	60560.0	43245.5	181544	41028.0	57940.0	1.0	0.9946	331.0	7.1869	3	0.3	4	0.4	3	0.3	0	0.0
Denticollis_linearis	16543	1541809482	451730100	1838.9334	694.0	118506	27306.4196	6188.0	244364	2707.0	21886.522	0.944	0.9151	340.0	10.7296	6944	0.4198	8370	0.506	1218	0.0736	11	0.0007
Descurainia_sophia	776	261270370	48787210	2757.5026	1111.5	113215	62870.116	38579.5	242658	30744.0	56771.7616	0.9	0.8571	332.0	2.9701	52	0.067	549	0.7075	174	0.2242	1	0.0013
Dexiosoma_caninum	4082	516876326	285557361	3956.1918	514.5	114857	69955.2575	53105.0	243353	39660.0	59017.6668	0.943	0.8765	344.0	7.8974	411	0.1007	2718	0.6659	933	0.2286	20	0.0049
Diachrysia_chrysitis	2766	386065175	204256853	4557.9772	239.0	115774	73845.5723	57801.5	241337	43587.5	61150.3171	0.933	0.8571	333.0	7.1646	376	0.1359	1717	0.6208	656	0.2372	17	0.0061
Diadumene_lineata	2933	309164667	125813314	2115.8551	488.0	109811	42895.777	15506.0	244181	9651.0	37244.0777	0.916	0.8107	329.0	9.4869	722	0.2462	1797	0.6127	400	0.1364	14	0.0048
Diaperis_boleti	4566	542461352	222934791	2892.6693	783.5	116632	48824.9652	20996.5	244185	11283.5	39852.4991	0.929	0.8867	333.0	8.4172	1140	0.2497	2687	0.5885	695	0.1522	44	0.0096
Diaphora_mendica	6618	746933339	444553809	4894.9918	588.5	117376	67173.4374	49851.0	247532	31108.0	51034.7841	0.961	0.8838	328.0	8.8602	1239	0.1872	4065	0.6142	1237	0.1869	77	0.0116
Diarsia_brunnea	5514	586134052	320528300	5436.5169	608.0	118074	58129.9057	36413.0	247617	12744.5	38264.2238	0.95	0.8569	325.0	9.4074	1617	0.2933	3162	0.5734	734	0.1331	1	0.0002
Diarsia_dahlii	6868	682932175	350372851	3331.1744	568.0	116217	51015.2666	28445.5	247994	15092.0	40824.554	0.957	0.8938	323.0	10.0566	1785	0.2599	4077	0.5936	999	0.1455	7	0.001
Diarsia_mendica	7374	727895291	366269869	3023.1172	544.0	118315	49670.446	25551.5	247298	13777.5	39519.7376	0.966	0.908	323.0	10.1306	1889	0.2562	4459	0.6047	1023	0.1387	3	0.0004
Diarsia_rubi	5523	624895243	366342544	4349.8901	432.0	115531	66330.3538	48696.0	248251	30329.0	51720.3016	0.978	0.8955	322.0	8.8383	1126	0.2039	3297	0.597	1096	0.1984	4	0.0007
Diazona_violacea	1026	153615952	46660013	3232.1248	684.0	89769	45477.5955	19203.0	245455	11896.0	38119.6715	0.93	0.8742	324.0	6.679	171	0.1667	713	0.6949	142	0.1384	0	0.0
Dichetophora_obliterata	12329	1310541763	605500647	2062.9478	698.0	123293	49111.9026	22944.0	247416	15645.0	43536.0474	0.948	0.9088	343.0	9.4076	2769	0.2246	7521	0.61	2020	0.1638	19	0.0015
Dichomeris_marginella	2523	293107951	156123079	4007.7138	421.0	108388	61879.9362	42760.0	242673	28230.0	50111.8446	0.959	0.884	323.0	8.6078	575	0.2279	1483	0.5878	463	0.1835	2	0.0008
Dichrorampha_sequana	8951	969706152	472722110	2712.5719	562.0	112907	52812.212	30639.0	244648	20092.0	45160.5288	0.949	0.9012	322.0	9.2306	2011	0.2247	5439	0.6076	1497	0.1672	4	0.0004
Dicraeus_fennicus	7016	719975284	459465652	7401.4745	1052.0	122404	65488.2628	48433.0	247405	14419.5	36782.1891	0.945	0.8464	345.0	9.7448	2070	0.295	4085	0.5822	852	0.1214	9	0.0013
Dicranodontium_denudatum	1523	249682952	95331614	2060.044	675.0	94151	62594.6251	40841.0	239937	34713.0	57907.1819	0.92	0.8936	321.0	6.0997	104	0.0683	1064	0.6986	348	0.2285	7	0.0046
Dicranoweisia_cirrata	854	197487937	27763534	2101.4895	1007.0	71264	32509.993	17190.5	226127	12303.5	27799.6827	0.9915	0.9511	325.0	4.3243	48	0.0562	744	0.8712	60	0.0703	2	0.0023
Dicranum_bonjeanii	5828	605310842	245420959	2520.6841	801.0	111995	42110.6656	18508.0	248779	10793.0	35285.2567	0.936	0.9061	330.0	9.6281	1457	0.25	3671	0.6299	687	0.1179	13	0.0022
Dicranum_flexicaule	5307	561693226	237221076	3246.4918	843.0	113404	44699.6563	20493.0	248720	11074.0	36125.0162	0.94	0.9016	332.0	9.4482	1351	0.2546	3274	0.6169	664	0.1251	18	0.0034
Dicranum_scottianum	5070	537940128	234476775	3094.1854	824.0	120431	46247.8846	23065.5	247070	13657.5	38146.8343	0.9355	0.9021	331.0	9.4248	1283	0.2531	3114	0.6142	659	0.13	14	0.0028
Dicranum_tauricum	3528	484012542	135962431	2081.4158	835.0	113061	38538.104	17315.5	248549	12229.5	33857.5604	0.938	0.9147	327.0	7.2891	851	0.2412	2297	0.6511	376	0.1066	4	0.0011
Dicycla_oo	8131	933697111	544868359	4010.98	661.0	120153	67011.2359	48919.0	247945	34574.0	54138.2259	0.96	0.8915	324.0	8.7084	1160	0.1427	5190	0.6383	1653	0.2033	128	0.0157
Dicyrtoma_fusca	2470	418535632	112634815	3486.7826	522.0	114430	45601.1397	18941.0	247802	12791.0	36128.6652	0.93	0.868	326.0	5.9015	461	0.1866	1696	0.6866	309	0.1251	4	0.0016
Dicyrtomina_minuta	3504	568926277	152899710	3805.0342	547.0	119974	43635.762	19447.0	243999	12161.5	31427.8199	0.943	0.8704	326.0	6.159	692	0.1975	2443	0.6972	363	0.1036	6	0.0017
Didymodon_insulanus	2035	265106457	109869628	2245.658	850.0	106768	53989.9892	30330.0	248529	23555.0	48312.3474	0.927	0.8873	320.0	7.6762	222	0.1091	1422	0.6988	376	0.1848	15	0.0074
Didymodon_rigidulus	1632	235091453	68723541	2055.0527	881.5	69172	42110.0129	23358.0	246770	18359.5	37430.1097	0.943	0.9007	311.0	6.942	193	0.1183	1265	0.7751	167	0.1023	7	0.0043
Digitaria_sanguinalis	5162	897984024	386963271	2624.2892	1253.5	120023	74963.8262	56331.0	248486	49512.5	68600.2346	0.893	0.8624	310.0	5.7484	276	0.0535	3380	0.6548	1475	0.2857	31	0.006
Digitivalva_pulicariae	3191	372408861	213967212	8190.4801	513.0	116921	67053.3413	50058.0	245821	23150.0	44763.9423	0.932	0.8098	327.0	8.5685	658	0.2062	2042	0.6399	488	0.1529	3	0.0009
Diloba_caeruleocephala	6069	762447164	505506763	10024.8954	755.0	118735	83293.2547	70943.0	247131	36123.0	54600.1646	0.943	0.7963	320.0	7.9599	781	0.1287	4036	0.665	1205	0.1986	47	0.0077
Dilophus_febrilis	5	1022979	736272	36629.2	38644.0	95301	147254.4	139400.0	216086	53460.0	73960.4	0.457	0.65	368.0	4.8877	0	0.0	4	0.8	1	0.2	0	0.0
Dilophus_femoratus	2892	358849519	193821104	7828.1466	941.0	117256	67019.7455	49664.5	244953	24930.0	47516.4364	0.947	0.8414	387.0	8.0591	618	0.2137	1773	0.6131	496	0.1715	5	0.0017
Dilutineuron_fasciculare	963	204319138	43843630	2073.3188	956.0	83386	45528.1724	26867.0	240019	21482.0	41110.2513	0.958	0.9282	306.0	4.7132	54	0.0561	791	0.8214	117	0.1215	1	0.001
Dinocampus_coccinellae	616	110448911	49618454	11998.4464	753.0	123853	80549.4383	67860.5	243061	25040.0	48966.5422	0.842	0.7334	352.5	5.5772	65	0.1055	426	0.6916	112	0.1818	13	0.0211
Dinocras_cephalotes	19100	1977233467	1052516646	3554.1479	640.0	121732	55105.5836	33838.0	247555	20233.0	44004.5793	0.948	0.8511	327.0	9.66	5091	0.2665	10793	0.5651	3066	0.1605	150	0.0079
Dioctria_baumhaueri	9884	1402940672	543097340	2261.8848	697.0	116174	54947.1206	30690.5	247026	24455.0	49487.2838	0.942	0.9095	330.0	7.0452	1695	0.1715	6303	0.6377	1882	0.1904	4	0.0004
Dioctria_linearis	7	1474797	615244	568.5714	751.0	924	87892.0	103477.0	185516	103204.0	86741.2857	1.0	0.961	339.0	4.7464	0	0.0	3	0.4286	4	0.5714	0	0.0
Dioctria_rufipes	8	1475763	649730	492.0	448.5	924	81216.25	65373.5	194098	64423.0	80201.25	1.0	0.966	338.5	5.4209	0	0.0	6	0.75	2	0.25	0	0.0
Diogma_glabrata	15685	1306151388	538306979	2609.3989	805.0	118407	34319.8584	9966.0	242731	3748.0	25621.9309	0.956	0.9146	360.0	12.0086	6141	0.3915	8199	0.5227	1279	0.0815	66	0.0042
Diphasiastrum_alpinum	26943	3029735493	1784247820	3256.8302	1455.0	118875	66223.0568	48739.0	249898	40485.0	58368.5522	0.912	0.8384	314.0	8.8929	1450	0.0538	19598	0.7274	5719	0.2123	176	0.0065
Diplazon_laetatorius	1	979438	138847	1253.0	1253.0	1253	138847.0	138847.0	138847	136031.0	136031.0	0.953	0.953	366.0	1.021	0	0.0	0	0.0	1	1.0	0	0.0
Diplecogaster_bimaculata	15068	2106678585	1127241623	11267.0032	942.0	121916	74810.3015	60623.5	248725	28159.5	46928.2462	0.798	0.6969	330.0	7.1525	1577	0.1047	10974	0.7283	2283	0.1515	234	0.0155
Diplocoelus_fagi	14741	1657202931	759511449	8167.7035	1112.0	120293	51523.7398	26179.0	249231	7345.0	29112.3826	0.938	0.8855	378.0	8.8951	4522	0.3068	8811	0.5977	1359	0.0922	49	0.0033
Diplosoma_listerianum	1963	283626722	92294136	1724.0606	530.0	81610	47016.8803	20231.0	249788	15370.0	42604.863	0.951	0.9059	329.0	6.9211	290	0.1477	1362	0.6938	311	0.1584	0	0.0
Diplosoma_spongiforme	3585	424404412	233242819	6398.265	835.0	114791	65060.7584	47919.0	247599	28842.0	49279.1305	0.934	0.8469	334.0	8.4471	391	0.1091	2584	0.7208	608	0.1696	2	0.0006
Dipsacus_fullonum	22504	2798809477	1582275717	3871.6094	1630.5	122808	70310.8655	53652.5	249910	42317.5	60431.5854	0.861	0.8053	335.0	8.0406	1655	0.0735	15066	0.6695	5304	0.2357	479	0.0213
Distichium_capillaceum	1750	279991123	110228813	2683.0703	1189.0	122565	62987.8931	41583.5	248319	33492.5	56752.6057	0.948	0.9191	320.0	6.2502	99	0.0566	1254	0.7166	396	0.2263	1	0.0006
Ditula_angustiorana	19	2100766	1349658	3607.7895	1293.0	34055	71034.6316	61647.0	173821	59708.0	62122.2632	1.0	0.9415	330.0	9.0443	0	0.0	14	0.7368	5	0.2632	0	0.0
Diurnea_fagella	5431	662191537	372901543	4415.6251	576.0	114441	68661.6724	52862.0	247732	35669.0	54865.6454	0.952	0.8746	321.0	8.2016	727	0.1339	3563	0.656	1112	0.2048	29	0.0053
Diurnea_lipsiella	5902	708785571	414163135	4940.7916	505.0	110417	70173.3539	54413.5	248286	34695.0	54657.2431	0.947	0.854	321.0	8.3269	672	0.1139	3930	0.6659	1221	0.2069	79	0.0134
Dolichomitus_mesocentrus	7857	989637752	451469263	4939.2906	937.0	121832	57460.7691	38494.0	245736	24131.0	44681.0771	0.925	0.8349	348.0	7.9393	1607	0.2045	5070	0.6453	1174	0.1494	6	0.0008
Dolichopus_griseipennis	6391	883158356	441806508	4581.8099	970.0	115549	69129.4802	52196.0	249054	34344.0	55598.0624	0.928	0.8671	367.0	7.2365	886	0.1386	4105	0.6423	1374	0.215	26	0.0041
Dolichopus_trivialis	9	1392116	799966	22555.1111	22171.0	48873	88885.1111	81817.0	163278	34589.0	43509.0	0.496	0.5888	457.0	6.465	2	0.2222	6	0.6667	1	0.1111	0	0.0
Dolichopus_virgultorum	5579	812374242	375056207	4044.3169	772.0	111360	67226.4218	48886.0	249683	34681.0	56194.1914	0.921	0.8567	369.0	6.8675	601	0.1077	3765	0.6749	1201	0.2153	12	0.0022
Dolichovespula_media	13	1685384	534108	1186.3846	991.0	3202	41085.2308	36273.0	144121	32216.0	38658.0	1.0	0.9902	320.0	7.7134	0	0.0	12	0.9231	1	0.0769	0	0.0
Dolichovespula_saxonica	1599	220513943	155138936	14709.0782	67.0	121667	97022.474	91118.0	246550	36113.0	53764.6091	0.6	0.5997	342.0	7.2512	109	0.0682	1186	0.7417	298	0.1864	6	0.0038
Dolichovespula_sylvestris	1625	229065350	141703469	12971.0431	58.0	115623	87202.1348	76988.0	244696	30101.0	49089.6849	0.554	0.583	339.0	7.094	100	0.0615	1252	0.7705	268	0.1649	5	0.0031
Dolomedes_plantarius	22860	2773775405	1625208844	5587.557	940.0	122507	71094.0002	55439.0	249315	34065.0	54123.4207	0.937	0.844	343.0	8.2415	3492	0.1528	14613	0.6392	4671	0.2043	84	0.0037
Donacaula_forficella	9634	1003270610	555116850	3175.3003	538.0	116701	57620.5989	36886.0	246537	25279.5	47789.6877	0.95	0.8931	326.0	9.6026	2025	0.2102	5797	0.6017	1702	0.1767	110	0.0114
Donacaula_mucronella	9421	1065157506	566457107	1927.9193	593.0	120719	60127.0679	41276.0	248627	35022.0	54921.5301	0.958	0.9189	323.0	8.8447	1306	0.1386	6109	0.6484	1950	0.207	56	0.0059
Dorcus_parallelipipedus	3528	469023927	156886507	2043.0649	522.0	112432	44468.9646	15671.5	247502	10106.0	39172.4793	0.952	0.9085	333.0	7.522	944	0.2676	2038	0.5777	540	0.1531	6	0.0017
Douinia_ovata	6894	1026670069	503581993	4162.3062	2354.0	119037	73046.4162	53989.5	249132	43662.0	63716.5817	0.907	0.8846	311.0	6.7149	622	0.0902	4470	0.6484	1789	0.2595	13	0.0019
Draba_incana	3564	659794217	244352438	2478.3996	823.0	115380	68561.2901	49072.0	249460	42466.0	62951.8945	0.889	0.83	321.0	5.4017	286	0.0802	2340	0.6566	929	0.2607	9	0.0025
Draba_verna	4858	1007308615	290266739	2783.69	1335.5	101803	59750.255	35866.0	248204	28749.5	53588.9691	0.894	0.8703	326.0	4.8228	509	0.1048	3339	0.6873	1006	0.2071	4	0.0008
Drepana_falcataria	2527	326729860	237584119	12725.7523	701.0	121099	94018.2505	86442.0	247310	35677.0	52961.0696	0.914	0.7483	322.0	7.7342	246	0.0973	1617	0.6399	475	0.188	189	0.0748
Drilus_flavescens	10074	921656867	420579236	3776.7126	1516.0	115380	41748.9811	18433.0	243872	7564.5	30342.3272	0.959	0.9112	337.0	10.9303	2523	0.2504	6451	0.6404	981	0.0974	119	0.0118
Dromius_quadrimaculatus	8	1343660	665222	2823.0	2260.5	9381	83152.75	61303.5	176323	56563.5	77154.875	0.9495	0.9258	375.0	5.9539	0	0.0	6	0.75	2	0.25	0	0.0
Drosophila_funebris	814	166609783	62915534	3538.3735	384.5	101626	77291.8108	59020.5	245129	48857.0	69696.4914	0.8355	0.7398	322.5	4.8857	45	0.0553	533	0.6548	235	0.2887	1	0.0012
Drosophila_helvetica	1258	224057405	80828230	3688.8267	1086.0	102287	64251.3752	45756.0	242681	35501.5	55544.9905	0.951	0.893	311.0	5.6146	99	0.0787	898	0.7138	261	0.2075	0	0.0
Drosophila_histrio	1055	189079798	72168685	3814.0114	611.0	91990	68406.3365	52382.0	237357	38951.0	58603.8607	0.878	0.7857	324.0	5.5797	73	0.0692	747	0.7081	232	0.2199	3	0.0028
Drosophila_immigrans	638	179036678	47994737	5391.0094	657.5	121428	75226.8605	54237.5	243819	34644.5	61807.5815	0.9115	0.8013	327.0	3.5635	92	0.1442	377	0.5909	168	0.2633	1	0.0016
Drosophila_limbata	1379	219382543	92877874	3870.9369	557.0	104502	67351.6128	48350.0	246203	31605.0	55749.4525	0.932	0.8702	327.0	6.2858	155	0.1124	920	0.6672	304	0.2204	0	0.0
Drosophila_obscura	1003	191895181	58225101	3934.7159	828.0	108685	58050.9482	40639.0	244934	27237.0	47123.4616	0.934	0.8673	312.0	5.2268	139	0.1386	699	0.6969	164	0.1635	1	0.001
Drosophila_phalerata	1256	214037118	82387623	4179.3129	662.0	105704	65595.2412	47557.5	246336	33172.0	55002.7994	0.9285	0.8281	331.0	5.8681	187	0.1489	791	0.6298	275	0.2189	3	0.0024
Drosophila_subobscura	539	128256716	34926173	3708.462	686.0	86245	64798.0946	42320.0	241685	26962.0	51339.6902	0.901	0.8253	312.0	4.2025	102	0.1892	330	0.6122	107	0.1985	0	0.0
Drusilla_canaliculata	2942	300358876	110198672	2448.2335	643.5	120843	37457.0605	15984.0	247370	13246.0	31612.8215	0.935	0.8727	332.0	9.7949	481	0.1635	2155	0.7325	284	0.0965	22	0.0075
Dryas_octopetala	1739	229478244	135329913	1970.326	53.0	113191	77820.5365	62897.0	245966	57848.0	73349.7982	0.828	0.7773	327.0	7.5781	75	0.0431	1124	0.6463	538	0.3094	2	0.0012
Drymonia_dodonaea	2990	330667641	188649069	5230.7308	694.5	118224	63093.3341	44843.0	246324	23044.0	45559.092	0.945	0.8622	322.0	9.0423	775	0.2592	1723	0.5763	490	0.1639	2	0.0007
Drymonia_ruficornis	3264	369570989	208652072	6127.9228	642.0	120487	63925.2672	46457.5	248864	23024.5	44984.9124	0.948	0.8418	323.0	8.8319	848	0.2598	1868	0.5723	525	0.1608	23	0.007
Dryobota_labecula	6735	766894291	444737474	4859.1238	532.0	121548	66033.7749	48426.0	248292	31867.0	52367.1381	0.94	0.8607	324.0	8.7822	931	0.1382	4475	0.6644	1312	0.1948	17	0.0025
Dryobotodes_eremita	5652	705957187	370587012	3752.0326	495.0	119334	65567.4119	46599.0	246419	33491.5	55654.5012	0.956	0.8892	323.0	8.0062	867	0.1534	3528	0.6242	1236	0.2187	21	0.0037
Dryomyza_anilis	5850	654781477	333193982	4404.4027	799.0	119998	56956.2362	36655.5	247495	19832.0	43175.1091	0.911	0.8476	355.0	8.9343	979	0.1674	3785	0.647	873	0.1492	213	0.0364
Dunaliella_primolecta	1572	208859619	109238020	3483.5961	466.0	116017	69489.8346	52873.0	243078	44300.0	61727.5293	0.911	0.793	303.0	7.5266	75	0.0477	1135	0.722	358	0.2277	4	0.0025
Dusona_minor	11	1516191	655139	10382.6364	5236.0	40500	59558.0909	50738.0	105233	29456.0	38479.7273	0.95	0.7621	328.0	7.255	1	0.0909	9	0.8182	1	0.0909	0	0.0
Dypterygia_scabriuscula	1938	385989960	178442942	10015.5134	337.0	114205	92075.8215	85346.5	244232	47754.5	67619.3266	0.9285	0.7806	324.0	5.0209	178	0.0918	1217	0.628	537	0.2771	6	0.0031
Dysmachus_trigonus	4920	450231300	164105664	2049.4805	639.0	116043	33354.8098	5458.5	245428	2041.0	26082.9492	0.965	0.9258	351.5	10.9277	2427	0.4933	2040	0.4146	446	0.0907	7	0.0014
